title,url,date
코스피 상장사 지난해 이익 늘고 매출은 줄어…'불황형 흑자',https://n.news.naver.com/mnews/article/001/0008295654?sid=101,2016.03.31.
"[2015년 결산실적]코스피 상장사, 매출 줄고 이익 늘었다",https://n.news.naver.com/mnews/article/003/0007134561?sid=101,2016.03.31.
"코스피, 외국인 '팔자'에 하루 만에 1990선으로 '털썩'",https://n.news.naver.com/mnews/article/015/0003572466?sid=101,2016.03.31.
코스피 `2000선` 안착하나,https://n.news.naver.com/mnews/article/029/0002336922?sid=101,5면 3단
자본전액잠식 포스코플랜텍 코스피시장 상장폐지,https://n.news.naver.com/mnews/article/030/0002464760?sid=105,2016.03.31.
"코스피, 환율 하락 마감",https://n.news.naver.com/mnews/article/003/0007136198?sid=101,2016.03.31.
코스피-환율 '하락 마감',https://n.news.naver.com/mnews/article/421/0001974316?sid=101,2016.03.31.
코스피 2000대 지속… 외인 매도세 강화,https://n.news.naver.com/mnews/article/008/0003656831?sid=101,2016.03.31.
"코스피 “생큐, 옐런”",https://n.news.naver.com/mnews/article/020/0002959964?sid=101,B1면 2단
"대신증권 ""4월 코스피 1,960∼2,050…'전강후약'""",https://n.news.naver.com/mnews/article/001/0008294374?sid=101,2016.03.31.
코스피-환율 '하락 마감',https://n.news.naver.com/mnews/article/421/0001974316?sid=101,2016.03.31.
코스피 2000대 지속… 외인 매도세 강화,https://n.news.naver.com/mnews/article/008/0003656831?sid=101,2016.03.31.
자본전액잠식 포스코플랜텍 코스피시장 상장폐지,https://n.news.naver.com/mnews/article/030/0002464760?sid=105,2016.03.31.
"코스피, 옐런 '비둘기파' 발언에 2,000선 껑충(종합)",https://n.news.naver.com/mnews/article/001/0008291344?sid=101,2016.03.30.
"""고마워 옐런""…코스피, 2000선 넘어 안착 시도",https://n.news.naver.com/mnews/article/003/0007131391?sid=101,2016.03.30.
"코스피 다시 2000…""이젠 공부 좀 하지 말입니다""",https://n.news.naver.com/mnews/article/008/0003656713?sid=101,2016.03.31.
포스코플랜텍 상장폐지 확정…코스피시장 퇴출 우려 법인 6곳,https://n.news.naver.com/mnews/article/001/0008295175?sid=101,2016.03.31.
"'땡큐 옐런' 코스피, 4개월 만에 2000선 마감…삼성전자 130만원",https://n.news.naver.com/mnews/article/015/0003571885?sid=101,2016.03.30.
"코스피, 외국인 매도세에 하루 만에 1,990선 후퇴",https://n.news.naver.com/mnews/article/056/0010302378?sid=101,2016.03.31.
"[마감시황]코스피, 외국인 매도공세에 다시 2000선 아래로",https://n.news.naver.com/mnews/article/003/0007135473?sid=101,2016.03.31.
코스피·코스닥 동반 상승,https://n.news.naver.com/mnews/article/421/0001971820?sid=101,2016.03.30.
코스피 올해 첫 2천 선 돌파...환율 급락,https://n.news.naver.com/mnews/article/052/0000808126?sid=101,2016.03.30.
코스피 '하락',https://n.news.naver.com/mnews/article/421/0001974249?sid=101,2016.03.31.
"코스피 1,991.86 코스닥 688.37",https://n.news.naver.com/mnews/article/056/0010302296?sid=101,2016.03.31.
[포토]코스피 77거래일 만에 종가기준 2000선 회복,https://n.news.naver.com/mnews/article/018/0003511739?sid=101,2016.03.30.
“고마워 옐런” 코스피 올해 첫 2000 돌파,https://n.news.naver.com/mnews/article/028/0002312806?sid=101,A16면 2단
"코스피 상장사, 매출 줄어도 이익 늘어 ‘불황형 흑자’",https://n.news.naver.com/mnews/article/032/0002688150?sid=101,A16면 3단
“고마워요 옐런”…코스피 4개월만에 2000 탈환,https://n.news.naver.com/mnews/article/009/0003706506?sid=101,2016.03.30.
"[개장시황]코스피, 개인·기관 매수세에 강보합 출발",https://n.news.naver.com/mnews/article/003/0007133729?sid=101,2016.03.31.
"‘돌아선 외국인’ 코스피, 하루만에 2000선 밑으로",https://n.news.naver.com/mnews/article/009/0003707072?sid=101,2016.03.31.
"美 ""금리 점진적 인상"", 코스피 올해 첫 2천 돌파",https://n.news.naver.com/mnews/article/214/0000603121?sid=101,2016.03.30.
"코스피 '옐런 효과' 지속…2,000선서 상승 출발",https://n.news.naver.com/mnews/article/001/0008294574?sid=101,2016.03.31.
"코스피, 외국인 '팔자'에 1990선 후퇴",https://n.news.naver.com/mnews/article/374/0000093503?sid=100,2016.03.31.
<마감시황> 외인 매도세 못 버티고…코스피 다시 2000선 아래로,https://n.news.naver.com/mnews/article/016/0001023858?sid=101,2016.03.31.
"[마감]코스피, 외국인 매도 공세에 1990선 후퇴",https://n.news.naver.com/mnews/article/018/0003512711?sid=101,2016.03.31.
<표> 코스피 지수선물·옵션 시세표(31일),https://n.news.naver.com/mnews/article/001/0008296482?sid=101,2016.03.31.
"[MW사진] 원달러 환율 하락, 코스닥-코스피 동반 상승",https://n.news.naver.com/mnews/article/417/0000169719?sid=101,2016.03.30.
"코스피 지수 '사흘 만'에 하락, 증권·자동차 업종 하락",https://n.news.naver.com/mnews/article/214/0000603759?sid=101,2016.03.31.
금리동결 훈풍에… 31일 코스피 2005.72로 출발,https://n.news.naver.com/mnews/article/032/0002687901?sid=101,2016.03.31.
"[마감시황]코스피, 외인 매도 공세에 2,000선 아래로",https://n.news.naver.com/mnews/article/011/0002812990?sid=101,2016.03.31.
<표> 코스피 2015년 순이익 하위 20곳,https://n.news.naver.com/mnews/article/001/0008295702?sid=101,2016.03.31.
<표> 코스피 2015년 적자전환 상위 50곳,https://n.news.naver.com/mnews/article/001/0008295698?sid=101,2016.03.31.
<표> 코스피 2015년 흑자전환 상위 60곳,https://n.news.naver.com/mnews/article/001/0008295697?sid=101,2016.03.31.
"코스피, 2000 안착 실패…사흘만에 하락반전",https://n.news.naver.com/mnews/article/277/0003718881?sid=101,2016.03.31.
[fn개장시황]코스피 2000 안착?..상승출발,https://n.news.naver.com/mnews/article/014/0003626860?sid=101,2016.03.31.
"코스피지수, 4개월만에 2000 돌파…추가 상승 힘들어",https://n.news.naver.com/mnews/article/366/0000322031?sid=101,2016.03.30.
"코스피, 강보합 출발…이틀째 옐런 훈풍",https://n.news.naver.com/mnews/article/018/0003512173?sid=101,2016.03.31.
"모건스탠리, 코스피 투자자들에게 ""좀 쉬어라""",https://n.news.naver.com/mnews/article/421/0001970531?sid=101,2016.03.30.
코스피·코스닥 약보합 전환... 외인 '팔자',https://n.news.naver.com/mnews/article/008/0003656834?sid=101,2016.03.31.
"코스피, 외인 '팔자'에 1990선 후퇴…코스닥도 680선으로 밀려",https://n.news.naver.com/mnews/article/015/0003572356?sid=101,2016.03.31.
<표> 코스피 2015년 부채비율 상위 20곳,https://n.news.naver.com/mnews/article/001/0008295699?sid=101,2016.03.31.
"코스피·코스닥 동반상승, 원달러 환율은 하락",https://n.news.naver.com/mnews/article/421/0001971770?sid=101,2016.03.30.
'코스피 2000 논쟁' 들여다보니…넘어선다 vs 넘어진다,https://n.news.naver.com/mnews/article/015/0003572609?sid=101,23면 TOP
"[투자의맥]코스피 추가 상승, 결정변수는 삼성전자·외국인",https://n.news.naver.com/mnews/article/018/0003512060?sid=101,2016.03.31.
"코스피, 외국인 순매도 확대에 장중 1990선 하회",https://n.news.naver.com/mnews/article/018/0003512398?sid=101,2016.03.31.
[시황종합]'땡큐 옐런·삼성전자' 코스피 2000선 돌파,https://n.news.naver.com/mnews/article/008/0003656514?sid=101,2016.03.30.
"코스피, 상승 출발했지만 외국인 매도 물량 출회되며 하락",https://n.news.naver.com/mnews/article/214/0000603703?sid=101,2016.03.31.
<표> 코스피 12월 결산법인 2015년 영업실적,https://n.news.naver.com/mnews/article/001/0008295696?sid=101,2016.03.31.
"코스피, 외국인 매도 공세에 1990선으로 '미끌'",https://n.news.naver.com/mnews/article/421/0001974253?sid=101,2016.03.31.
지난해 코스피 상장사 이익 늘고 매출은 감소,https://n.news.naver.com/mnews/article/016/0001023743?sid=101,2016.03.31.
"코스피 상장사 지난해 이익↑, 매출↓…불황형 흑자",https://n.news.naver.com/mnews/article/374/0000093508?sid=100,2016.03.31.
"코스피, 외국인 매수세에 1,990선 회복 마감…코스닥 1.48%↑",https://n.news.naver.com/mnews/article/001/0008289801?sid=101,2016.03.29.
"[1시 지금 주식시장은]코스피, 외인 매도에 1,990선으로 후퇴",https://n.news.naver.com/mnews/article/011/0002812893?sid=101,2016.03.31.
"2000 넘은 코스피, 1분기 기업 실적에 주목할때",https://n.news.naver.com/mnews/article/277/0003718442?sid=101,17면 3단
[시황종합] 옐런 훈풍에 코스피도 2000선,https://n.news.naver.com/mnews/article/421/0001971807?sid=101,2016.03.30.
"[빅데이터MSI]빅데이터 심리 4→7단계…코스피, 하루만에 2000선 아래로",https://n.news.naver.com/mnews/article/003/0007135904?sid=101,2016.03.31.
"[초점]G2 경제지표, 코스피 추가 상승 방아쇠 될까?",https://n.news.naver.com/mnews/article/015/0003572374?sid=101,2016.03.31.
"코스피, 장 막판 외국인 '사자'에 1990선 회복",https://n.news.naver.com/mnews/article/015/0003571298?sid=101,2016.03.29.
코스피 '톱10' 지형도 격변…아모레 뜨고 포스코 지고,https://n.news.naver.com/mnews/article/001/0008285457?sid=101,2016.03.28.
"코스피, 2000 위에서 순조로운 출발…개인·기관 '매수'",https://n.news.naver.com/mnews/article/277/0003718438?sid=101,2016.03.31.
1990선 넘긴 코스피,https://n.news.naver.com/mnews/article/421/0001969525?sid=101,2016.03.29.
"코스피, 6.29p(0.31%) 내린 1995.85 마감",https://n.news.naver.com/mnews/article/003/0007135408?sid=101,2016.03.31.
"'옐런 훈풍'에 코스피 2,000 돌파",https://n.news.naver.com/mnews/article/011/0002812632?sid=101,1면 4단
"""4월 금리 인상 없다"" 옐런 발언에 코스피 2000선 턱걸이",https://n.news.naver.com/mnews/article/009/0003706367?sid=101,2016.03.30.
"[마감시황] 코스피, 외인 매도에 하루만에 2000선 밑으로",https://n.news.naver.com/mnews/article/215/0000450164?sid=101,2016.03.31.
마른수건 쥐어 짠 코스피 상장사.. 매출 줄고 영업익은 늘어,https://n.news.naver.com/mnews/article/014/0003627455?sid=101,14면 TOP
